album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Unorthodox Jukebox,7,0inMKhbKWOTDA9UBUAKoU6,Natalie,spotify:track:0inMKhbKWOTDA9UBUAKoU6,0.15,0.76,0.733,0.0,0.0647,-6.704,0.0504,111.975,0.611,58
Unorthodox Jukebox,8,2tCPIp83mRXvVTytTAf1W4,Show Me,spotify:track:2tCPIp83mRXvVTytTAf1W4,0.0461,0.743,0.706,0.0,0.204,-5.728,0.0535,77.989,0.514,59
Unorthodox Jukebox,9,6FPQabaldvKE5cjqRfY9Os,Money Make Her Smile,spotify:track:6FPQabaldvKE5cjqRfY9Os,0.0943,0.754,0.677,7.39e-05,0.153,-6.555,0.0709,93.022,0.78,54
Unorthodox Jukebox,10,7lXOqE38eCr979gp27O5wr,If I Knew,spotify:track:7lXOqE38eCr979gp27O5wr,0.722,0.522,0.413,0.0,0.0854,-5.86,0.0316,175.972,0.49,63
Doo-Wops & Hooligans,3,4LjkHlY5qDz0hhFJJH5M7a,Our First Time,spotify:track:4LjkHlY5qDz0hhFJJH5M7a,0.381,0.705,0.451,0.0,0.276,-8.221,0.0429,77.998,0.868,53
Doo-Wops & Hooligans,4,7hCNBVRhHzcsRAv0TQnOzq,Runaway Baby,spotify:track:7hCNBVRhHzcsRAv0TQnOzq,0.25,0.656,0.767,0.0,0.114,-3.038,0.0396,163.834,0.871,67
Doo-Wops & Hooligans,5,386RUes7n1uM1yfzgeUuwp,The Lazy Song,spotify:track:386RUes7n1uM1yfzgeUuwp,0.332,0.738,0.804,0.0,0.279,-3.851,0.0621,174.943,0.949,73
Doo-Wops & Hooligans,6,6SKwQghsR8AISlxhcwyA9R,Marry You,spotify:track:6SKwQghsR8AISlxhcwyA9R,0.332,0.62,0.832,0.0,0.104,-4.848,0.036,144.926,0.481,73
Doo-Wops & Hooligans,11,3P4v70V3Zt804r2c9dZivK,Somewhere in Brooklyn,spotify:track:3P4v70V3Zt804r2c9dZivK,0.569,0.701,0.579,0.0,0.255,-5.673,0.0412,129.969,0.349,52
Doo-Wops & Hooligans,12,6YKT5HoPwjTwhHiCNQsBMK,Talking to the Moon - Acoustic Piano,spotify:track:6YKT5HoPwjTwhHiCNQsBMK,0.867,0.354,0.333,0.0,0.107,-6.423,0.0324,101.145,0.209,55
Doo-Wops & Hooligans,1,2tJulUYLDKOg9XrtVkMgcJ,Grenade,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,0.146,0.706,0.558,0.0,0.118,-7.237,0.0593,110.443,0.227,75
Doo-Wops & Hooligans,2,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,109.012,0.434,79
Doo-Wops & Hooligans,7,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,spotify:track:161DnLWsx1i3u1JT05lzqU,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,0.065,73
Doo-Wops & Hooligans,8,4KykoaJQ5UxjCpp3lYkvTE,Liquor Store Blues (feat. Damian Marley),spotify:track:4KykoaJQ5UxjCpp3lYkvTE,0.11,0.691,0.824,0.0,0.353,-3.925,0.0731,75.516,0.685,60
Doo-Wops & Hooligans,9,7l1qvxWjxcKpB9PCtBuTbU,Count on Me,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,0.84,0.577,0.397,0.0,0.0772,-5.98,0.028,89.044,0.509,71
Doo-Wops & Hooligans,10,0HasfWMrNxTjycDy9TkRtA,The Other Side (feat. CeeLo Green and B.o.B),spotify:track:0HasfWMrNxTjycDy9TkRtA,0.117,0.559,0.807,4.46e-06,0.148,-3.887,0.0304,140.081,0.543,52
